Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost of oils and fats [CoHD_of],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of animal-source foods [CoHD_asf],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of fruits [CoHD_f],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a healthy diet [CoHD],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA]
Food Prices for Nutrition 1.0,FPN 1.0,WORLD,WLD,2017,YR2017,7208180851,3049.1,2212.2,381.2,42.9,31.1,5.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.13,0.348,0.873,0.508,0.793,0.662,..,3.314,2.457,0.834
Food Prices for Nutrition 1.0,FPN 1.0,Albania,ALB,2017,YR2017,2873457,1.1,0.4,0,37.8,13,0,0.425,0.266,0.078,3.992,2.496,0.732,0.15,0.74,2.01,1.18,0.023,1.52,0.112,0.305,0.152,0.179,0.231,0.089,0.441,1.204,0.599,0.707,0.911,5.45,3.952,2.471,0.725
Food Prices for Nutrition 1.0,FPN 1.0,Algeria,DZA,2017,YR2017,41389174,14.6,3,0.1,35.2,7.2,0.2,0.605,0.374,0.124,3.801,2.346,0.781,0.27,0.99,1.94,1.41,0.035,1.97,0.131,0.256,0.132,0.186,0.26,0.132,0.493,0.964,0.496,0.699,0.979,4.87,3.763,2.323,0.773
Food Prices for Nutrition 1.0,FPN 1.0,Angola,AGO,2017,YR2017,29816769,27.7,26,17,92.9,87.1,57.2,0.972,0.726,0.315,4.371,3.264,1.417,0.2,0.47,1.21,1.43,0.038,0.85,0.091,0.234,0.194,0.277,0.166,0.166,0.395,1.011,0.839,1.199,0.717,3.08,4.327,3.231,1.403
Food Prices for Nutrition 1.0,FPN 1.0,Anguilla,AIA,2017,YR2017,..,..,..,..,..,..,..,0.577,0.378,0.203,3.755,2.458,1.321,0.17,0.42,0.83,1.31,0.036,1.04,0.088,0.174,0.209,0.274,0.218,0.134,0.328,0.647,0.778,1.019,0.811,2.84,3.717,2.433,1.308
Food Prices for Nutrition 1.0,FPN 1.0,Antigua and Barbuda,ATG,2017,YR2017,95425,..,..,..,..,..,..,0.767,0.563,0.174,4.154,3.047,0.942,0.19,0.71,1.13,2.12,0.028,1.66,0.104,0.166,0.147,0.311,0.244,0.115,0.429,0.682,0.604,1.279,1.003,4.41,4.112,3.017,0.933
Food Prices for Nutrition 1.0,FPN 1.0,Argentina,ARG,2017,YR2017,44044811,4.8,3.1,0.1,11,7.1,0.3,0.395,0.31,0.077,3.375,2.652,0.659,0.25,1.42,1.44,1.52,0.035,1.58,0.196,0.2,0.139,0.21,0.219,0.117,0.656,0.669,0.463,0.703,0.733,5.12,3.341,2.625,0.652
Food Prices for Nutrition 1.0,FPN 1.0,Armenia,ARM,2017,YR2017,2944789,1.2,0.5,0,40.9,16.8,0.6,0.27,0.192,0.088,3.127,2.23,1.023,0.23,1.01,1.81,0.81,0.04,0.91,0.175,0.314,0.173,0.14,0.158,0.123,0.541,0.973,0.537,0.433,0.488,3.06,3.096,2.208,1.013
Food Prices for Nutrition 1.0,FPN 1.0,Aruba,ABW,2017,YR2017,105361,..,..,..,..,..,..,0.723,0.6,0.239,3.453,2.864,1.141,0.14,0.51,0.9,1.14,0.034,0.6,0.119,0.21,0.233,0.265,0.139,0.115,0.407,0.718,0.797,0.907,0.475,3.02,3.418,2.835,1.13
Food Prices for Nutrition 1.0,FPN 1.0,Australia,AUS,2017,YR2017,24601860,0.2,0.1,0.1,0.7,0.5,0.2,0.333,0.235,0.045,2.282,1.611,0.31,0.3,1.13,2.07,2.7,0.03,3.02,0.11,0.203,0.098,0.264,0.295,0.067,0.249,0.458,0.221,0.597,0.667,7.36,2.259,1.595,0.307
